Station,StationUniqueId,Id,Type,IsAccessible,HasBabyChanging,IsInsideGateLine,Location,IsFeeCharged,IsManagedByTfL,AskStaff,RadarKey,OpeningHours,OpensWithStation,ClosesWithStation,MonOpening1,MonClosing1,MonOpening2,MonClosing2,TueOpening1,TueClosing1,TueOpening2,TueClosing2,WedOpening1,WedClosing1,WedOpening2,WedClosing2,ThuOpening1,ThuClosing1,ThuOpening2,ThuClosing2,FriOpening1,FriClosing1,FriOpening2,FriClosing2,SatOpening1,SatClosing1,SatOpening2,SatClosing2,SunOpening1,SunClosing1,SunOpening2,SunClosing2,BankHolidayOpening1,BankHolidayClosing1,BankHolidayOpening2,BankHolidayClosing2
,910GSVNKNGS,1,Unisex,TRUE,FALSE,TRUE,Located on Footbridge,FALSE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,910GTAPLOW,1,Male,FALSE,FALSE,TRUE,Located on platform 4,FALSE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,910GTAPLOW,2,Female,FALSE,FALSE,TRUE,Located on platform 4,FALSE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,910GTAPLOW,3,Unisex,TRUE,FALSE,TRUE,Located on platform 4,FALSE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,910GTWYFORD,1,Male,FALSE,FALSE,TRUE,Located on platform 4,FALSE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,910GTWYFORD,2,Female,FALSE,FALSE,TRUE,Located on platform 4,FALSE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,910GTWYFORD,3,Unisex,TRUE,FALSE,TRUE,Located on platform 4,FALSE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,910GWDRYTON,1,Male,FALSE,FALSE,TRUE,Located on platform 4,FALSE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,910GWDRYTON,2,Female,FALSE,FALSE,TRUE,Located on platform 4,FALSE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,910GWDRYTON,3,Unisex,TRUE,FALSE,TRUE,Located on platform 4,FALSE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,910GWEALING,1,Unisex,TRUE,FALSE,TRUE,,FALSE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,910GWHHRTLA,1,Unisex,TRUE,FALSE,TRUE,,FALSE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,910GWHHRTLA,2,Male,TRUE,TRUE,TRUE,,FALSE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,910GWHHRTLA,3,Female,TRUE,TRUE,TRUE,,FALSE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,910GWHMDSTD,1,Male,FALSE,FALSE,FALSE,,FALSE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,910GWHMDSTD,2,Female,FALSE,FALSE,TRUE,,FALSE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,910GWHMDSTD,3,Unisex,TRUE,TRUE,TRUE,,FALSE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,940GZZDLSIT,1,Male,FALSE,FALSE,FALSE,Located in National Rail station,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,940GZZDLSIT,2,Female,FALSE,TRUE,FALSE,Located in National Rail station,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,940GZZDLSIT,3,Unisex,TRUE,FALSE,FALSE,Located in National Rail station,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,940GZZLUACT,1,Male,FALSE,FALSE,FALSE,Located in ticket hall,FALSE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,940GZZLUACT,2,Female,FALSE,FALSE,FALSE,Located in ticket hall,FALSE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,940GZZLUACT,3,Unisex,TRUE,TRUE,FALSE,Located in ticket hall,FALSE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,940GZZLUALP,1,Male,FALSE,FALSE,TRUE,Located in ticket hall,FALSE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,940GZZLUALP,2,Female,FALSE,FALSE,TRUE,Located in ticket hall,FALSE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,940GZZLUBEC,1,Male,FALSE,FALSE,TRUE,Located on platform 1,FALSE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,940GZZLUBEC,2,Female,FALSE,TRUE,TRUE,Located on platform 1,FALSE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
